"Date","Price","Open","High","Low","Vol.","Change %"
"04/16/2025","86.95","86.97","87.09","86.89","","-0.04%"
"04/15/2025","86.98","87.07","87.62","86.77","","-0.10%"
"04/14/2025","87.07","86.76","87.33","86.39","","0.64%"
"04/11/2025","86.52","86.32","86.83","85.05","","0.26%"
"04/10/2025","86.30","85.34","86.70","84.83","","1.15%"
"04/09/2025","85.31","82.31","85.68","81.62","","3.82%"
"04/08/2025","82.18","82.23","84.01","82.07","","-0.01%"
"04/07/2025","82.18","82.43","84.08","80.88","","-0.25%"
"04/04/2025","82.39","86.49","86.57","81.63","","-4.74%"
"04/03/2025","86.48","86.17","87.34","85.17","","0.40%"
"04/02/2025","86.14","85.84","86.77","85.61","","0.37%"
"04/01/2025","85.82","85.43","85.95","85.22","53.01K","0.48%"
"03/31/2025","85.41","86.04","86.18","85.04","","-0.65%"
"03/28/2025","85.97","86.55","86.57","85.92","51.36K","-0.62%"
"03/27/2025","86.51","86.38","86.77","86.10","","0.20%"
"03/26/2025","86.34","86.50","86.87","86.14","54.24K","-0.14%"
"03/25/2025","86.46","86.13","86.81","86.04","48.12K","0.39%"
"03/24/2025","86.12","86.30","86.61","85.87","50.66K","-0.14%"
"03/21/2025","86.24","87.10","87.17","86.08","47.74K","-0.96%"
"03/20/2025","87.07","87.93","88.03","86.66","54.23K","-0.97%"
"03/19/2025","87.92","88.12","88.23","87.43","","-0.21%"
"03/18/2025","88.11","88.67","88.74","87.87","49.50K","-0.59%"
"03/17/2025","88.63","88.04","88.78","87.83","55.79K","0.70%"
"03/14/2025","88.02","87.50","88.14","87.38","52.07K","0.62%"
"03/13/2025","87.47","88.19","88.40","87.26","57.69K","-0.77%"
"03/12/2025","88.16","87.90","88.24","87.59","60.08K","0.33%"
"03/11/2025","87.87","87.73","88.09","87.43","71.39K","0.17%"
"03/10/2025","87.72","87.68","88.49","87.50","68.21K","0.09%"
"03/07/2025","87.64","88.28","88.36","87.32","77.90K","-0.68%"
"03/06/2025","88.24","88.14","88.71","88.04","76.80K","0.13%"
"03/05/2025","88.12","87.58","88.26","87.03","","0.67%"
"03/04/2025","87.54","87.00","87.60","86.49","86.37K","0.62%"
"03/03/2025","87.01","86.90","87.45","86.71","67.26K","0.13%"
"02/28/2025","86.89","87.01","87.13","86.63","67.04K","-0.08%"
"02/27/2025","86.96","88.00","88.14","86.94","","-1.17%"
"02/26/2025","87.99","88.53","88.68","87.85","59.58K","-0.58%"
"02/25/2025","88.51","88.09","88.65","87.89","","0.52%"
"02/24/2025","88.05","88.15","88.70","88.00","61.72K","-0.13%"
"02/21/2025","88.17","88.74","88.88","88.12","","-0.63%"
"02/20/2025","88.73","88.27","88.82","88.03","58.58K","0.53%"
"02/19/2025","88.26","88.39","88.65","88.15","50.77K","-0.09%"
"02/18/2025","88.34","88.34","88.59","88.06","55.53K","0.04%"
"02/17/2025","88.31","88.31","88.56","88.13","","0.10%"
"02/14/2025","88.21","87.85","88.48","87.73","56.49K","0.47%"
"02/13/2025","87.80","87.40","87.93","86.95","","0.58%"
"02/12/2025","87.30","87.46","87.69","86.68","61.79K","-0.16%"
"02/11/2025","87.44","87.87","87.99","86.97","51.57K","-0.44%"
"02/10/2025","87.82","87.72","88.25","87.17","51.19K","0.12%"
"02/07/2025","87.72","88.00","88.23","87.47","","-0.36%"
"02/06/2025","88.04","87.96","88.13","87.63","58.76K","0.10%"
"02/05/2025","87.95","87.07","88.14","86.93","","0.97%"
"02/04/2025","87.11","86.85","87.25","85.99","76.50K","0.30%"
"02/03/2025","86.85","86.06","87.02","84.34","101.77K","0.91%"
"01/31/2025","86.07","86.07","86.80","85.97","","0.04%"
"01/30/2025","86.03","86.26","86.50","85.92","60.46K","-0.27%"
"01/29/2025","86.26","86.58","86.62","85.98","64.75K","-0.32%"
"01/28/2025","86.54","86.93","86.96","86.34","","-0.43%"
"01/27/2025","86.91","87.19","87.23","86.65","64.35K","-0.13%"
"01/24/2025","87.02","86.96","87.45","86.84","55.47K","0.09%"
"01/23/2025","86.94","86.65","87.17","86.53","50.12K","0.34%"
"01/22/2025","86.64","86.93","86.98","86.51","52.54K","-0.26%"
"01/21/2025","86.87","86.93","87.13","86.00","","-0.04%"
"01/20/2025","86.90","85.92","87.09","85.77","49.89K","1.31%"
"01/17/2025","85.78","86.04","86.32","85.43","","-0.28%"
"01/16/2025","86.02","86.04","86.30","85.72","53.93K","-0.01%"
"01/15/2025","86.03","85.87","86.33","85.59","50.16K","0.24%"
"01/14/2025","85.83","85.58","86.02","85.46","61.48K","0.31%"
"01/13/2025","85.56","84.59","85.60","84.46","54.68K","1.24%"
"01/10/2025","84.52","85.15","85.26","84.44","51.97K","-0.65%"
"01/09/2025","85.07","85.37","85.41","84.84","40.29K","-0.35%"
"01/08/2025","85.36","85.45","85.66","84.98","54.99K","-0.07%"
"01/07/2025","85.42","85.79","86.26","85.41","51.52K","-0.36%"
"01/06/2025","85.73","85.29","86.57","85.16","56.33K","0.56%"
"01/03/2025","85.25","85.15","85.46","85.04","47.48K","0.17%"
"01/02/2025","85.11","84.79","85.38","84.73","54.35K","0.33%"
"01/01/2025","84.82","84.76","84.88","84.72","2.11K","0.09%"
"12/31/2024","84.75","85.14","85.31","84.64","43.43K","-0.41%"
"12/30/2024","85.10","84.98","85.47","84.88","49.78K","0.06%"
"12/27/2024","85.05","84.87","85.41","84.74","49.94K","0.23%"
"12/26/2024","84.85","85.01","85.32","84.80","39.36K","-0.20%"
"12/25/2024","85.02","85.10","85.17","84.91","1.73K","0.02%"
"12/24/2024","85.01","85.10","85.19","84.76","35.58K","-0.06%"
"12/23/2024","85.06","85.24","85.35","84.69","52.97K","0.06%"
"12/20/2024","85.01","84.94","85.37","84.60","62.12K","0.16%"
"12/19/2024","84.88","84.51","85.30","84.25","69.23K","0.45%"
"12/18/2024","84.50","86.10","86.14","84.46","56.67K","-1.83%"
"12/17/2024","86.08","86.51","86.62","86.00","49.74K","-0.47%"
"12/16/2024","86.48","86.28","86.64","86.14","44.56K","0.21%"
"12/13/2024","86.29","86.29","86.61","86.08","56.44K","0.04%"
"12/12/2024","86.26","86.45","87.33","86.18","69.52K","-0.18%"
"12/11/2024","86.42","86.59","86.76","85.99","61.12K","-0.15%"
"12/10/2024","86.55","87.31","87.36","86.41","54.27K","-0.82%"
"12/09/2024","87.27","86.61","87.75","86.46","53.42K","0.80%"
"12/06/2024","86.57","87.48","87.54","86.35","56.60K","-1.00%"
"12/05/2024","87.44","87.18","87.52","87.06","48.93K","0.33%"
"12/04/2024","87.15","87.88","87.94","86.76","62.31K","-0.79%"
"12/03/2024","87.84","87.74","88.14","87.47","53.38K","0.18%"
"12/02/2024","87.69","88.09","88.24","87.31","64.09K","-0.35%"
"11/29/2024","88.00","87.86","88.27","87.76","59.69K","0.16%"
"11/28/2024","87.85","87.79","87.98","87.56","43.29K","0.11%"
"11/27/2024","87.76","87.36","87.85","87.21","62.15K","0.50%"
"11/26/2024","87.32","87.72","87.82","86.77","70.17K","-0.42%"
"11/25/2024","87.69","87.90","88.52","87.48","59.33K","-0.17%"
"11/22/2024","87.83","88.03","88.18","87.47","61.73K","-0.21%"
"11/21/2024","88.02","87.82","88.33","87.81","49.84K","0.22%"
"11/20/2024","87.83","88.23","88.41","87.57","44.09K","-0.43%"
"11/19/2024","88.21","87.87","88.26","87.55","58.55K","0.40%"
"11/18/2024","87.86","87.25","87.93","87.06","49.00K","0.70%"
"11/15/2024","87.24","87.14","87.53","86.99","51.27K","0.14%"
"11/14/2024","87.12","87.61","87.74","86.97","56.51K","-0.49%"
"11/13/2024","87.55","88.24","88.39","87.48","50.86K","-0.76%"
"11/12/2024","88.22","88.78","88.89","87.95","50.74K","-0.62%"
"11/11/2024","88.77","89.03","89.13","88.61","45.16K","-0.07%"
"11/08/2024","88.83","90.10","90.21","88.53","51.79K","-1.47%"
"11/07/2024","90.15","88.58","90.30","88.51","56.43K","1.79%"
"11/06/2024","88.57","89.33","89.44","87.71","85.10K","-0.83%"
"11/05/2024","89.31","88.63","89.40","88.53","42.78K","0.80%"
"11/04/2024","88.61","88.50","89.05","88.41","52.32K","0.43%"
"11/01/2024","88.23","88.55","88.69","88.16","41.83K","-0.33%"
"10/31/2024","88.53","88.43","88.59","87.97","46.56K","0.14%"
"10/30/2024","88.40","88.26","88.76","87.92","44.25K","0.18%"
"10/29/2024","88.25","88.56","88.61","88.04","46.23K","-0.33%"
