Date,Price,Open,High,Low,Vol.,Change %
4/11/2025,86.52,86.32,86.83,85.05,,0.26%
4/10/2025,86.3,85.34,86.7,84.83,,1.15%
4/9/2025,85.31,82.31,85.68,81.62,,3.82%
4/8/2025,82.18,82.23,84.01,82.07,,-0.01%
4/7/2025,82.18,82.43,84.08,80.88,,-0.25%
4/4/2025,82.39,86.49,86.57,81.63,,-4.74%
4/3/2025,86.48,86.17,87.34,85.17,,0.40%
4/2/2025,86.14,85.84,86.77,85.61,,0.37%
4/1/2025,85.82,85.43,85.95,85.22,53.01K,0.48%
3/31/2025,85.41,86.04,86.18,85.04,,-0.65%
3/28/2025,85.97,86.55,86.57,85.92,51.36K,-0.62%
3/27/2025,86.51,86.38,86.77,86.1,,0.20%
3/26/2025,86.34,86.5,86.87,86.14,54.24K,-0.14%
3/25/2025,86.46,86.13,86.81,86.04,48.12K,0.39%
3/24/2025,86.12,86.3,86.61,85.87,50.66K,-0.14%
3/21/2025,86.24,87.1,87.17,86.08,47.74K,-0.96%
3/20/2025,87.07,87.93,88.03,86.66,54.23K,-0.97%
3/19/2025,87.92,88.12,88.23,87.43,,-0.21%
3/18/2025,88.11,88.67,88.74,87.87,49.50K,-0.59%
3/17/2025,88.63,88.04,88.78,87.83,55.79K,0.70%
3/14/2025,88.02,87.5,88.14,87.38,52.07K,0.62%
3/13/2025,87.47,88.19,88.4,87.26,57.69K,-0.77%
3/12/2025,88.16,87.9,88.24,87.59,60.08K,0.33%
3/11/2025,87.87,87.73,88.09,87.43,71.39K,0.17%
3/10/2025,87.72,87.68,88.49,87.5,68.21K,0.09%
3/7/2025,87.64,88.28,88.36,87.32,77.90K,-0.68%
3/6/2025,88.24,88.14,88.71,88.04,76.80K,0.13%
3/5/2025,88.12,87.58,88.26,87.03,,0.67%
3/4/2025,87.54,87,87.6,86.49,86.37K,0.62%
3/3/2025,87.01,86.9,87.45,86.71,67.26K,0.13%
2/28/2025,86.89,87.01,87.13,86.63,67.04K,-0.08%
2/27/2025,86.96,88,88.14,86.94,,-1.17%
2/26/2025,87.99,88.53,88.68,87.85,59.58K,-0.58%
2/25/2025,88.51,88.09,88.65,87.89,,0.52%
2/24/2025,88.05,88.15,88.7,88,61.72K,-0.13%
2/21/2025,88.17,88.74,88.88,88.12,,-0.63%
2/20/2025,88.73,88.27,88.82,88.03,58.58K,0.53%
2/19/2025,88.26,88.39,88.65,88.15,50.77K,-0.09%
2/18/2025,88.34,88.34,88.59,88.06,55.53K,0.04%
2/17/2025,88.31,88.31,88.56,88.13,,0.10%
2/14/2025,88.21,87.85,88.48,87.73,56.49K,0.47%
2/13/2025,87.8,87.4,87.93,86.95,,0.58%
2/12/2025,87.3,87.46,87.69,86.68,61.79K,-0.16%
2/11/2025,87.44,87.87,87.99,86.97,51.57K,-0.44%
2/10/2025,87.82,87.72,88.25,87.17,51.19K,0.12%
2/7/2025,87.72,88,88.23,87.47,,-0.36%
2/6/2025,88.04,87.96,88.13,87.63,58.76K,0.10%
2/5/2025,87.95,87.07,88.14,86.93,,0.97%
2/4/2025,87.11,86.85,87.25,85.99,76.50K,0.30%
2/3/2025,86.85,86.06,87.02,84.34,101.77K,0.91%
1/31/2025,86.07,86.07,86.8,85.97,,0.04%
